대분류,중분류,소분류,중요단어,여가부_2024청소년정책1권,여가부_2024청소년정책2권,여가부_청소년매체및유해환경실태조사,교육부_2024학생건강...추진방향,교육부_2023학생건강...추진방향,질병관리청_청소년건강행태...발표자료,[개인+외부] 집계 A - 전체
개인건강,신체,신체활동,신체활동,0,0,0,0,0,0,0
개인건강,신체,신체활동,운동,0,7,0,3,2,4,16
개인건강,신체,신체활동,근력,0,0,0,0,0,1,1
개인건강,신체,신체활동,유산소,0,0,0,0,0,0,0
개인건강,신체,비만,비만,0,4,0,9,10,18,41
개인건강,신체,비만,체중,0,6,0,1,1,1,9
개인건강,신체,비만,과체중,0,0,0,3,1,11,15
개인건강,신체,흡연,흡연,4,10,121,17,18,9,179
개인건강,신체,흡연,담배,0,1,249,5,5,7,267
개인건강,신체,음주,음주,4,9,97,15,15,13,153
개인건강,신체,음주,주류,0,1,38,0,1,0,40
개인건강,신체,식생활,식생활,1,6,0,55,40,8,110
개인건강,신체,식생활,아침,0,2,0,0,0,0,2
개인건강,신체,식생활,과일,0,3,0,1,1,4,9
개인건강,신체,식생활,영양,4,7,0,83,87,2,183
개인건강,신체,식생활,영양상태(영양 상태),0,0,0,0,0,0,0
개인건강,신체,식생활,영양관리,0,0,0,0,0,0,0
개인건강,신체,식생활,패스트푸드,,0,24,0,0,1,25
개인건강,신체,구강건강,구강,3,9,0,9,18,3,42
개인건강,신체,구강건강,치아,0,1,0,0,0,1,2
개인건강,신체,개인위생,위생,39,53,0,89,99,1,281
개인건강,신체,개인위생,손씻기,0,0,0,1,4,0,5
개인건강,신체,아토피/천식,아토피,0,0,0,0,1,2,3
개인건강,신체,아토피/천식,천식,0,0,0,0,1,2,3
개인건강,신체,아토피/천식,알레르기,0,1,0,11,11,0,23
개인건강,신체,약물,약물,5,44,100,27,18,2,196
개인건강,신체,약물,마약,1,4,15,58,34,0,112
개인건강,신체,약물,카페인,0,0,79,0,0,0,79
개인건강,신체,기타 중독,인터넷 중독,0,0,-,3,0,0,3
개인건강,신체,매체중독/디지털미디어?,스마트폰,14,229,63,0,0,2,308
개인건강,신체,매체중독/디지털미디어?,디지털미디어,9,0,0,0,0,0,9
개인건강,신체,매체중독/디지털미디어?,게임 중독,3,4,0,0,0,0,7
개인건강,심리,수면,수면,0,2,0,0,0,1,3
개인건강,심리,우울,우울,0,25,2,1,1,1,30
개인건강,심리,자살생각여부,자살,9,61,4,1,1,0,76
개인건강,심리,자해,자해,5,26,0,0,0,0,31
개인건강,심리,스트레스,스트레스,0,19,0,0,1,4,24
개인건강,심리,외로움,외로움,0,8,0,0,0,0,8
개인건강,심리,범불안장애,불안,0,20,1,2,1,0,24
개인건강,심리,행복감,행복,24,196,0,0,1,1,222
외부환경요인,위험요인,학교폭력,학교폭력,5,46,87,2,2,0,142
외부환경요인,위험요인,청소년폭력,청소년폭력,0,0,0,0,0,0,0
외부환경요인,위험요인,성폭력/성범죄,성폭력,9,76,279,0,0,0,364
외부환경요인,위험요인,성폭력/성범죄,성추행,0,2,0,0,0,0,2
외부환경요인,위험요인,성폭력/성범죄,성매매,5,37,43,0,0,0,85
외부환경요인,위험요인,가출,가출,7,117,143,0,0,0,267
외부환경요인,위험요인,유해업소,유해업소,3,36,14,0,0,0,53
외부환경요인,위험요인,유해업소,출입제한,0,0,30,0,0,0,30
외부환경요인,위험요인,유해업소,출입금지업소,0,,8,,,,
외부환경요인,위험요인,유해업소,고용금지업소,,5,52,,,,
외부환경요인,위험요인,유해업소,제한업소,0,0,4,,,,
외부환경요인,위험요인,사행/대출,사행,0,2,1,3,3,0,9
외부환경요인,위험요인,사행/대출,대출,0,0,103,0,0,0,103
외부환경요인,공동체/지역사회,가족(보호자) 상호작용,보호자,59,291,21,31,31,0,433
외부환경요인,공동체/지역사회,교사 상호작용,교사,13,41,2,56,61,1,174
외부환경요인,공동체/지역사회,친구 상호작용,친구,0,58,96,1,0,0,155
외부환경요인,공동체/지역사회,청소년 기관/센터 인지/경험,기관,395,1171,236,121,114,4,
외부환경요인,공동체/지역사회,청소년 기관/센터 인지/경험,상담기관,0,0,0,0,0,0,0
외부환경요인,공동체/지역사회,청소년 기관/센터 인지/경험,지원기관,0,0,0,0,0,0,0
외부환경요인,공동체/지역사회,청소년 기관/센터 인지/경험,센터,390,1569,115,20,14,1,
외부환경요인,공동체/지역사회,청소년 기관/센터 인지/경험,상담복지,,237,,,,,237
외부환경요인,공동체/지역사회,청소년 기관/센터 인지/경험,상담센터,0,0,0,0,0,0,0
외부환경요인,공동체/지역사회,청소년 기관/센터 인지/경험,지원센터,0,0,0,0,0,0,0
외부환경요인,건강교육,성교육,성교육,1,11,28,1,2,0,43
외부환경요인,건강교육,안전교육,안전교육(안전 교육),50,7,0,10,5,0,72
외부환경요인,건강교육,학교폭력교육,학교폭력예방,1,2,27,,,,
외부환경요인,건강교육,개인 위생 교육,청결지도(청결 지도),1,1,0,0,0,0,2
외부환경요인,건강교육,개인 위생 교육,위생지도,,1,,,,,
외부환경요인,건강교육,영양/식습관 교육,식습관지도,1,1,,,,,
외부환경요인,건강교육,청소년 매체 유해교육,매체이용 교육,0,0,21,0,0,0,21
외부환경요인,건강교육,청소년 매체 유해교육,예방교육,9,34,100,0,0,0,143
외부환경요인,건강교육,청소년 매체 유해교육,개인정보보호교육,1,3,3,0,0,0,7
